"region","subregion","chl_mean","sst_mean","fwd_mean","poc_mean","dist_S","wf_log","rugosity","easting","northing","lat","long","site","complx_3m","ext_m_tetra","ext_m_brachi","ext_m_chth","incl_graus_franja","incl_graus_tetra","incl_graus_brachi","incl_graus_chth","extensao","inclinacao","mean_exp","sst_mean.1","sst_CV","distCentro","pop_2010","pop_est_2017","cresc_anual","densidade_km2","distance_S"
"SW-NE","MRBS",7.33,25.588,0.882,532.06,89.24,3.913033,1.248,394387.363191675,7365242.12100551,-23.820665,-46.036889,"Riviera de São Lourenço",1.24848706155704,0.736,2.218,2.92,22.2,43.6,27,32,1.958,31.2,8010.00902362898,25.5881446412903,10.4874737415209,33.9125485102108,47645,59297,2.80717646520301,97.21,89.243291
"SW-NE","MRBS",7.51,25.632,0.791,515.716,93.45,3.992025,1.076,398035.2776591,7367331.1918856,-23.802035,-46.000934,"Indaiá",1.07607623622301,1.26,2.682,3.406,9.4,16.8,15.8,15.4,2.44933333333333,14.35,10437.3098144531,25.6321868303125,10.3675631195543,38.1172252133543,47645,59297,2.80717646520301,97.21,93.447913
"SW-NE","MRBS",4.564,25.836,0.72,478.83,106.84,3.918769,1.146,410788.461490118,7371875.99822682,-23.76175,-45.87548,"Canto do Itaguaí",1.14554314682192,0.656,2.554,4.674,26.4,28.4,24.8,17.6,2.628,24.3,9614.53636907762,25.836249383,10.8705043048756,51.517874924025,47645,59297,2.80717646520301,97.21,106.839389
"SW-NE","MRBS",4.549,25.266,0.747,506.987,115.05,3.88428,1.233,420138.500664975,7371509.81272969,-23.76555,-45.78375,"Engenho",1.2334802553031,0.19,2.316,5.496,20.6,80.4,21,10.6,2.66733333333333,33.15,10504.5975613064,25.2662924741379,10.854854811724,20.2242962977992,78801,88313,1.53868302838443,108.87,115.050943
"SW-NE","SSCh",3.446,25.873,0.637,438.525,136.38,3.741743,1.244,445251.679062377,7366205.84556894,-23.81451,-45.5375,"Toque Toque Pequeno",1.24444887018923,NA,NA,NA,29,44.8,50.4,29.4,NA,38.4,5332.5146484375,25.8733921385714,11.4478830157437,82.36317326293,32010,34551,1.05062082139446,101.59,136.382774
"SW-NE","SSCh",2.928,25.608,0.703,425.416,138.1,3.69964,1.225,447880.606889749,7363691.24355528,-23.83731,-45.51178,"Toque Toque Grande",1.22501511276447,NA,NA,NA,28.2,26.4,37.2,33.8,NA,31.4,5943.76516384549,25.608436881875,11.2352117649541,84.4518015164419,32010,34551,1.05062082139446,101.59,138.101539
"SW-NE","SSCh",4.178,25.878,0.696,499.746,142.8,3.613756,1.462,452259.232664395,7365410.29303625,-23.82192,-45.46873,"Guaecá",1.46204009463023,NA,NA,NA,27,51,51.2,25.6,NA,38.7,4711.05777282715,25.8776915626923,11.0528826602353,89.0725537996408,32010,34551,1.05062082139446,101.59,142.796112
"SW-NE","SSCh",5.303,25.073,0.603,571.405,146.96,3.412781,1.221,456852.68467727,7364640.55053559,-23.829003,-45.423654,"Baleeiro",1.22058971357297,NA,NA,NA,NA,15.4,NA,12.2,NA,13.8,3061.81192713198,25.0727376028571,10.8988692607532,93.4554956963412,32010,34551,1.05062082139446,101.59,146.96079
"SW-NE","SSCh",5.024,25.011,0.839,574.167,151.09,2.793518,1.333,459225.659242564,7370773.56963534,-23.77367,-45.400185,"Pontal da Cruz",1.33271938311697,NA,NA,NA,5.8,31.2,38,20.2,NA,23.8,761.420750427246,25.0105258036842,12.3556308730781,97.0058239920012,32010,34551,1.05062082139446,101.59,151.088445
"SW-NE","SSCh",4.541,25.453,0.815,520.809,152.97,3.317324,1.41,459437.552488032,7375777.28612367,-23.72848,-45.397968,"Cigarras",1.41037673914386,NA,NA,NA,25.2,53.8,50.4,46.6,NA,44,2387.2116800944,25.4528566085714,11.2117854076158,98.4701948539514,32010,34551,1.05062082139446,101.59,152.965565
