"site","replica","cover","subregion","region","chl_mean","sst_mean","fwd_mean","wf_log","rugosity","inclinacao","easting","northing","distance_S","str_size","str_ab"
"Atalaia",10,0.02,"LRRJ","W-E",2.671,23.13,0.566,3.332353,1.167,28,806552.061675709,7454866.80522792,508.051757,32.8596774193548,31
"Baleeiro",1,0,"SSCh","SW-NE",5.303,25.073,0.603,3.412781,1.221,13.8,456852.68467727,7364640.55053559,146.96079,32.6075,4
"Baleeiro",2,0,"SSCh","SW-NE",5.303,25.073,0.603,3.412781,1.221,13.8,456852.68467727,7364640.55053559,146.96079,32.6075,4
"Baleeiro",3,0,"SSCh","SW-NE",5.303,25.073,0.603,3.412781,1.221,13.8,456852.68467727,7364640.55053559,146.96079,32.6075,4
"Baleeiro",4,0,"SSCh","SW-NE",5.303,25.073,0.603,3.412781,1.221,13.8,456852.68467727,7364640.55053559,146.96079,32.6075,4
"Baleeiro",5,0,"SSCh","SW-NE",5.303,25.073,0.603,3.412781,1.221,13.8,456852.68467727,7364640.55053559,146.96079,32.6075,4
"Baleeiro",6,0,"SSCh","SW-NE",5.303,25.073,0.603,3.412781,1.221,13.8,456852.68467727,7364640.55053559,146.96079,32.6075,4
"Baleeiro",7,0,"SSCh","SW-NE",5.303,25.073,0.603,3.412781,1.221,13.8,456852.68467727,7364640.55053559,146.96079,32.6075,4
"Baleeiro",8,0,"SSCh","SW-NE",5.303,25.073,0.603,3.412781,1.221,13.8,456852.68467727,7364640.55053559,146.96079,32.6075,4
"Baleeiro",9,0,"SSCh","SW-NE",5.303,25.073,0.603,3.412781,1.221,13.8,456852.68467727,7364640.55053559,146.96079,32.6075,4
"Baleeiro",10,0,"SSCh","SW-NE",5.303,25.073,0.603,3.412781,1.221,13.8,456852.68467727,7364640.55053559,146.96079,32.6075,4
"Bravinha",1,0.87,"Ubatuba","SW-NE",4.057,26.17,0.747,2.940125,1.318,29.8,482355.901014818,7400392.88158966,183.669796,25.6928571428571,17
"Bravinha",2,0.64,"Ubatuba","SW-NE",4.057,26.17,0.747,2.940125,1.318,29.8,482355.901014818,7400392.88158966,183.669796,25.6928571428571,17
"Bravinha",3,0.53,"Ubatuba","SW-NE",4.057,26.17,0.747,2.940125,1.318,29.8,482355.901014818,7400392.88158966,183.669796,25.6928571428571,17
"Bravinha",4,0.36,"Ubatuba","SW-NE",4.057,26.17,0.747,2.940125,1.318,29.8,482355.901014818,7400392.88158966,183.669796,25.6928571428571,17
"Bravinha",5,0.73,"Ubatuba","SW-NE",4.057,26.17,0.747,2.940125,1.318,29.8,482355.901014818,7400392.88158966,183.669796,25.6928571428571,17
"Bravinha",6,0.05,"Ubatuba","SW-NE",4.057,26.17,0.747,2.940125,1.318,29.8,482355.901014818,7400392.88158966,183.669796,25.6928571428571,17
"Bravinha",7,0.23,"Ubatuba","SW-NE",4.057,26.17,0.747,2.940125,1.318,29.8,482355.901014818,7400392.88158966,183.669796,25.6928571428571,17
