"site","replicate","vivos_n","subregion","region","chl_mean","sst_mean","fwd_mean","wf_log","rugosity","inclinacao","easting","northing","distance_S","str_size","str_ab","incl_graus_tetra"
"Astúrias",3,19,"MRBS","SW-NE",5.767,25.399,0.949,3.6317,1.413,17.05,371222.105421394,7344123.83398171,59.233413,16.6850581395349,NA,21.8
"Astúrias",4,37,"MRBS","SW-NE",5.767,25.399,0.949,3.6317,1.413,17.05,371222.105421394,7344123.83398171,59.233413,16.6850581395349,NA,21.8
"Astúrias",5,21,"MRBS","SW-NE",5.767,25.399,0.949,3.6317,1.413,17.05,371222.105421394,7344123.83398171,59.233413,16.6850581395349,NA,21.8
"Astúrias",6,31,"MRBS","SW-NE",5.767,25.399,0.949,3.6317,1.413,17.05,371222.105421394,7344123.83398171,59.233413,16.6850581395349,NA,21.8
"Astúrias",7,39,"MRBS","SW-NE",5.767,25.399,0.949,3.6317,1.413,17.05,371222.105421394,7344123.83398171,59.233413,16.6850581395349,NA,21.8
"Astúrias",8,41,"MRBS","SW-NE",5.767,25.399,0.949,3.6317,1.413,17.05,371222.105421394,7344123.83398171,59.233413,16.6850581395349,NA,21.8
"Astúrias",9,22,"MRBS","SW-NE",5.767,25.399,0.949,3.6317,1.413,17.05,371222.105421394,7344123.83398171,59.233413,16.6850581395349,NA,21.8
"Astúrias",10,22,"MRBS","SW-NE",5.767,25.399,0.949,3.6317,1.413,17.05,371222.105421394,7344123.83398171,59.233413,16.6850581395349,NA,21.8
"Astúrias",11,41,"MRBS","SW-NE",5.767,25.399,0.949,3.6317,1.413,17.05,371222.105421394,7344123.83398171,59.233413,16.6850581395349,NA,21.8
"Astúrias",12,50,"MRBS","SW-NE",5.767,25.399,0.949,3.6317,1.413,17.05,371222.105421394,7344123.83398171,59.233413,16.6850581395349,NA,21.8
"Astúrias",13,63,"MRBS","SW-NE",5.767,25.399,0.949,3.6317,1.413,17.05,371222.105421394,7344123.83398171,59.233413,16.6850581395349,NA,21.8
"Astúrias",14,38,"MRBS","SW-NE",5.767,25.399,0.949,3.6317,1.413,17.05,371222.105421394,7344123.83398171,59.233413,16.6850581395349,NA,21.8
"Astúrias",15,24,"MRBS","SW-NE",5.767,25.399,0.949,3.6317,1.413,17.05,371222.105421394,7344123.83398171,59.233413,16.6850581395349,NA,21.8
"Atalaia",1,21,"LRRJ","W-E",2.671,23.13,0.566,3.332353,1.167,28,806552.061675709,7454866.80522792,508.051757,32.8596774193548,31,27
"Atalaia",2,22,"LRRJ","W-E",2.671,23.13,0.566,3.332353,1.167,28,806552.061675709,7454866.80522792,508.051757,32.8596774193548,31,27
"Atalaia",3,15,"LRRJ","W-E",2.671,23.13,0.566,3.332353,1.167,28,806552.061675709,7454866.80522792,508.051757,32.8596774193548,31,27
"Atalaia",4,38,"LRRJ","W-E",2.671,23.13,0.566,3.332353,1.167,28,806552.061675709,7454866.80522792,508.051757,32.8596774193548,31,27
"Atalaia",5,38,"LRRJ","W-E",2.671,23.13,0.566,3.332353,1.167,28,806552.061675709,7454866.80522792,508.051757,32.8596774193548,31,27
"Atalaia",6,10,"LRRJ","W-E",2.671,23.13,0.566,3.332353,1.167,28,806552.061675709,7454866.80522792,508.051757,32.8596774193548,31,27
"Atalaia",7,15,"LRRJ","W-E",2.671,23.13,0.566,3.332353,1.167,28,806552.061675709,7454866.80522792,508.051757,32.8596774193548,31,27
"Atalaia",8,21,"LRRJ","W-E",2.671,23.13,0.566,3.332353,1.167,28,806552.061675709,7454866.80522792,508.051757,32.8596774193548,31,27
"Atalaia",9,20,"LRRJ","W-E",2.671,23.13,0.566,3.332353,1.167,28,806552.061675709,7454866.80522792,508.051757,32.8596774193548,31,27
"Atalaia",10,27,"LRRJ","W-E",2.671,23.13,0.566,3.332353,1.167,28,806552.061675709,7454866.80522792,508.051757,32.8596774193548,31,27
"Atalaia",11,24,"LRRJ","W-E",2.671,23.13,0.566,3.332353,1.167,28,806552.061675709,7454866.80522792,508.051757,32.8596774193548,31,27
"Atalaia",12,15,"LRRJ","W-E",2.671,23.13,0.566,3.332353,1.167,28,806552.061675709,7454866.80522792,508.051757,32.8596774193548,31,27
"Atalaia",13,35,"LRRJ","W-E",2.671,23.13,0.566,3.332353,1.167,28,806552.061675709,7454866.80522792,508.051757,32.8596774193548,31,27
"Atalaia",14,29,"LRRJ","W-E",2.671,23.13,0.566,3.332353,1.167,28,806552.061675709,7454866.80522792,508.051757,32.8596774193548,31,27
"Atalaia",15,33,"LRRJ","W-E",2.671,23.13,0.566,3.332353,1.167,28,806552.061675709,7454866.80522792,508.051757,32.8596774193548,31,27
"Baleeiro",1,13,"SSCh","SW-NE",5.303,25.073,0.603,3.412781,1.221,13.8,456852.68467727,7364640.55053559,146.96079,32.6075,4,15.4
"Baleeiro",2,17,"SSCh","SW-NE",5.303,25.073,0.603,3.412781,1.221,13.8,456852.68467727,7364640.55053559,146.96079,32.6075,4,15.4
"Baleeiro",3,13,"SSCh","SW-NE",5.303,25.073,0.603,3.412781,1.221,13.8,456852.68467727,7364640.55053559,146.96079,32.6075,4,15.4
"Baleeiro",4,26,"SSCh","SW-NE",5.303,25.073,0.603,3.412781,1.221,13.8,456852.68467727,7364640.55053559,146.96079,32.6075,4,15.4
"Baleeiro",5,15,"SSCh","SW-NE",5.303,25.073,0.603,3.412781,1.221,13.8,456852.68467727,7364640.55053559,146.96079,32.6075,4,15.4
"Baleeiro",6,3,"SSCh","SW-NE",5.303,25.073,0.603,3.412781,1.221,13.8,456852.68467727,7364640.55053559,146.96079,32.6075,4,15.4
"Baleeiro",7,16,"SSCh","SW-NE",5.303,25.073,0.603,3.412781,1.221,13.8,456852.68467727,7364640.55053559,146.96079,32.6075,4,15.4
"Baleeiro",8,19,"SSCh","SW-NE",5.303,25.073,0.603,3.412781,1.221,13.8,456852.68467727,7364640.55053559,146.96079,32.6075,4,15.4
"Baleeiro",9,5,"SSCh","SW-NE",5.303,25.073,0.603,3.412781,1.221,13.8,456852.68467727,7364640.55053559,146.96079,32.6075,4,15.4
"Baleeiro",10,4,"SSCh","SW-NE",5.303,25.073,0.603,3.412781,1.221,13.8,456852.68467727,7364640.55053559,146.96079,32.6075,4,15.4
"Baleeiro",11,9,"SSCh","SW-NE",5.303,25.073,0.603,3.412781,1.221,13.8,456852.68467727,7364640.55053559,146.96079,32.6075,4,15.4
"Baleeiro",12,22,"SSCh","SW-NE",5.303,25.073,0.603,3.412781,1.221,13.8,456852.68467727,7364640.55053559,146.96079,32.6075,4,15.4
"Baleeiro",13,16,"SSCh","SW-NE",5.303,25.073,0.603,3.412781,1.221,13.8,456852.68467727,7364640.55053559,146.96079,32.6075,4,15.4
"Baleeiro",14,20,"SSCh","SW-NE",5.303,25.073,0.603,3.412781,1.221,13.8,456852.68467727,7364640.55053559,146.96079,32.6075,4,15.4
"Baleeiro",15,14,"SSCh","SW-NE",5.303,25.073,0.603,3.412781,1.221,13.8,456852.68467727,7364640.55053559,146.96079,32.6075,4,15.4
"Bravinha",1,27,"Ubatuba","SW-NE",4.057,26.17,0.747,2.940125,1.318,29.8,482355.901014818,7400392.88158966,183.669796,25.6928571428571,17,23.6
"Bravinha",2,20,"Ubatuba","SW-NE",4.057,26.17,0.747,2.940125,1.318,29.8,482355.901014818,7400392.88158966,183.669796,25.6928571428571,17,23.6
"Bravinha",3,37,"Ubatuba","SW-NE",4.057,26.17,0.747,2.940125,1.318,29.8,482355.901014818,7400392.88158966,183.669796,25.6928571428571,17,23.6
"Bravinha",4,23,"Ubatuba","SW-NE",4.057,26.17,0.747,2.940125,1.318,29.8,482355.901014818,7400392.88158966,183.669796,25.6928571428571,17,23.6
"Bravinha",5,0,"Ubatuba","SW-NE",4.057,26.17,0.747,2.940125,1.318,29.8,482355.901014818,7400392.88158966,183.669796,25.6928571428571,17,23.6
"Bravinha",6,23,"Ubatuba","SW-NE",4.057,26.17,0.747,2.940125,1.318,29.8,482355.901014818,7400392.88158966,183.669796,25.6928571428571,17,23.6
"Bravinha",7,14,"Ubatuba","SW-NE",4.057,26.17,0.747,2.940125,1.318,29.8,482355.901014818,7400392.88158966,183.669796,25.6928571428571,17,23.6
"Bravinha",8,32,"Ubatuba","SW-NE",4.057,26.17,0.747,2.940125,1.318,29.8,482355.901014818,7400392.88158966,183.669796,25.6928571428571,17,23.6
"Bravinha",9,33,"Ubatuba","SW-NE",4.057,26.17,0.747,2.940125,1.318,29.8,482355.901014818,7400392.88158966,183.669796,25.6928571428571,17,23.6
"Bravinha",10,27,"Ubatuba","SW-NE",4.057,26.17,0.747,2.940125,1.318,29.8,482355.901014818,7400392.88158966,183.669796,25.6928571428571,17,23.6
"Bravinha",11,27,"Ubatuba","SW-NE",4.057,26.17,0.747,2.940125,1.318,29.8,482355.901014818,7400392.88158966,183.669796,25.6928571428571,17,23.6
"Bravinha",12,29,"Ubatuba","SW-NE",4.057,26.17,0.747,2.940125,1.318,29.8,482355.901014818,7400392.88158966,183.669796,25.6928571428571,17,23.6
"Bravinha",13,33,"Ubatuba","SW-NE",4.057,26.17,0.747,2.940125,1.318,29.8,482355.901014818,7400392.88158966,183.669796,25.6928571428571,17,23.6
"Bravinha",14,20,"Ubatuba","SW-NE",4.057,26.17,0.747,2.940125,1.318,29.8,482355.901014818,7400392.88158966,183.669796,25.6928571428571,17,23.6
"Bravinha",15,17,"Ubatuba","SW-NE",4.057,26.17,0.747,2.940125,1.318,29.8,482355.901014818,7400392.88158966,183.669796,25.6928571428571,17,23.6
"Canto do Itaguaí",1,0,"MRBS","SW-NE",4.564,25.836,0.72,3.918769,1.146,24.3,410788.461490118,7371875.99822682,106.839389,26.4811764705882,26,28.4
"Canto do Itaguaí",2,2,"MRBS","SW-NE",4.564,25.836,0.72,3.918769,1.146,24.3,410788.461490118,7371875.99822682,106.839389,26.4811764705882,26,28.4
"Canto do Itaguaí",3,1,"MRBS","SW-NE",4.564,25.836,0.72,3.918769,1.146,24.3,410788.461490118,7371875.99822682,106.839389,26.4811764705882,26,28.4
"Canto do Itaguaí",4,8,"MRBS","SW-NE",4.564,25.836,0.72,3.918769,1.146,24.3,410788.461490118,7371875.99822682,106.839389,26.4811764705882,26,28.4
"Canto do Itaguaí",5,3,"MRBS","SW-NE",4.564,25.836,0.72,3.918769,1.146,24.3,410788.461490118,7371875.99822682,106.839389,26.4811764705882,26,28.4
"Canto do Itaguaí",6,2,"MRBS","SW-NE",4.564,25.836,0.72,3.918769,1.146,24.3,410788.461490118,7371875.99822682,106.839389,26.4811764705882,26,28.4
"Canto do Itaguaí",7,6,"MRBS","SW-NE",4.564,25.836,0.72,3.918769,1.146,24.3,410788.461490118,7371875.99822682,106.839389,26.4811764705882,26,28.4
"Canto do Itaguaí",8,25,"MRBS","SW-NE",4.564,25.836,0.72,3.918769,1.146,24.3,410788.461490118,7371875.99822682,106.839389,26.4811764705882,26,28.4
"Canto do Itaguaí",9,0,"MRBS","SW-NE",4.564,25.836,0.72,3.918769,1.146,24.3,410788.461490118,7371875.99822682,106.839389,26.4811764705882,26,28.4
"Canto do Itaguaí",10,0,"MRBS","SW-NE",4.564,25.836,0.72,3.918769,1.146,24.3,410788.461490118,7371875.99822682,106.839389,26.4811764705882,26,28.4
"Canto do Itaguaí",11,0,"MRBS","SW-NE",4.564,25.836,0.72,3.918769,1.146,24.3,410788.461490118,7371875.99822682,106.839389,26.4811764705882,26,28.4
"Canto do Itaguaí",12,0,"MRBS","SW-NE",4.564,25.836,0.72,3.918769,1.146,24.3,410788.461490118,7371875.99822682,106.839389,26.4811764705882,26,28.4
"Canto do Itaguaí",13,0,"MRBS","SW-NE",4.564,25.836,0.72,3.918769,1.146,24.3,410788.461490118,7371875.99822682,106.839389,26.4811764705882,26,28.4
"Canto do Itaguaí",14,0,"MRBS","SW-NE",4.564,25.836,0.72,3.918769,1.146,24.3,410788.461490118,7371875.99822682,106.839389,26.4811764705882,26,28.4
"Canto do Itaguaí",15,0,"MRBS","SW-NE",4.564,25.836,0.72,3.918769,1.146,24.3,410788.461490118,7371875.99822682,106.839389,26.4811764705882,26,28.4
"Cibratel",1,24,"MRBS","SW-NE",7.127,25.259,0.977,4.079989,1.257,48.8,316145.026398974,7322342.06316073,0,27.2019230769231,4,58.4
"Cibratel",2,31,"MRBS","SW-NE",7.127,25.259,0.977,4.079989,1.257,48.8,316145.026398974,7322342.06316073,0,27.2019230769231,4,58.4
"Cibratel",3,6,"MRBS","SW-NE",7.127,25.259,0.977,4.079989,1.257,48.8,316145.026398974,7322342.06316073,0,27.2019230769231,4,58.4
"Cibratel",4,10,"MRBS","SW-NE",7.127,25.259,0.977,4.079989,1.257,48.8,316145.026398974,7322342.06316073,0,27.2019230769231,4,58.4
"Cibratel",5,21,"MRBS","SW-NE",7.127,25.259,0.977,4.079989,1.257,48.8,316145.026398974,7322342.06316073,0,27.2019230769231,4,58.4
"Cibratel",6,18,"MRBS","SW-NE",7.127,25.259,0.977,4.079989,1.257,48.8,316145.026398974,7322342.06316073,0,27.2019230769231,4,58.4
"Cibratel",7,59,"MRBS","SW-NE",7.127,25.259,0.977,4.079989,1.257,48.8,316145.026398974,7322342.06316073,0,27.2019230769231,4,58.4
"Cibratel",8,36,"MRBS","SW-NE",7.127,25.259,0.977,4.079989,1.257,48.8,316145.026398974,7322342.06316073,0,27.2019230769231,4,58.4
"Cibratel",9,30,"MRBS","SW-NE",7.127,25.259,0.977,4.079989,1.257,48.8,316145.026398974,7322342.06316073,0,27.2019230769231,4,58.4
"Cibratel",10,64,"MRBS","SW-NE",7.127,25.259,0.977,4.079989,1.257,48.8,316145.026398974,7322342.06316073,0,27.2019230769231,4,58.4
"Cibratel",11,21,"MRBS","SW-NE",7.127,25.259,0.977,4.079989,1.257,48.8,316145.026398974,7322342.06316073,0,27.2019230769231,4,58.4
"Cibratel",12,1,"MRBS","SW-NE",7.127,25.259,0.977,4.079989,1.257,48.8,316145.026398974,7322342.06316073,0,27.2019230769231,4,58.4
"Cibratel",13,10,"MRBS","SW-NE",7.127,25.259,0.977,4.079989,1.257,48.8,316145.026398974,7322342.06316073,0,27.2019230769231,4,58.4
"Cibratel",14,57,"MRBS","SW-NE",7.127,25.259,0.977,4.079989,1.257,48.8,316145.026398974,7322342.06316073,0,27.2019230769231,4,58.4
"Cibratel",15,41,"MRBS","SW-NE",7.127,25.259,0.977,4.079989,1.257,48.8,316145.026398974,7322342.06316073,0,27.2019230769231,4,58.4
"Cigarras",1,17,"SSCh","SW-NE",4.541,25.453,0.815,3.317324,1.41,44,459437.552488032,7375777.28612367,152.965565,33.33,9,53.8
"Cigarras",2,8,"SSCh","SW-NE",4.541,25.453,0.815,3.317324,1.41,44,459437.552488032,7375777.28612367,152.965565,33.33,9,53.8
"Cigarras",3,22,"SSCh","SW-NE",4.541,25.453,0.815,3.317324,1.41,44,459437.552488032,7375777.28612367,152.965565,33.33,9,53.8
"Cigarras",4,14,"SSCh","SW-NE",4.541,25.453,0.815,3.317324,1.41,44,459437.552488032,7375777.28612367,152.965565,33.33,9,53.8
"Cigarras",5,25,"SSCh","SW-NE",4.541,25.453,0.815,3.317324,1.41,44,459437.552488032,7375777.28612367,152.965565,33.33,9,53.8
"Cigarras",6,22,"SSCh","SW-NE",4.541,25.453,0.815,3.317324,1.41,44,459437.552488032,7375777.28612367,152.965565,33.33,9,53.8
"Cigarras",7,14,"SSCh","SW-NE",4.541,25.453,0.815,3.317324,1.41,44,459437.552488032,7375777.28612367,152.965565,33.33,9,53.8
"Cigarras",8,3,"SSCh","SW-NE",4.541,25.453,0.815,3.317324,1.41,44,459437.552488032,7375777.28612367,152.965565,33.33,9,53.8
"Cigarras",9,19,"SSCh","SW-NE",4.541,25.453,0.815,3.317324,1.41,44,459437.552488032,7375777.28612367,152.965565,33.33,9,53.8
"Cigarras",10,6,"SSCh","SW-NE",4.541,25.453,0.815,3.317324,1.41,44,459437.552488032,7375777.28612367,152.965565,33.33,9,53.8
"Cigarras",11,5,"SSCh","SW-NE",4.541,25.453,0.815,3.317324,1.41,44,459437.552488032,7375777.28612367,152.965565,33.33,9,53.8
"Cigarras",12,21,"SSCh","SW-NE",4.541,25.453,0.815,3.317324,1.41,44,459437.552488032,7375777.28612367,152.965565,33.33,9,53.8
"Cigarras",13,24,"SSCh","SW-NE",4.541,25.453,0.815,3.317324,1.41,44,459437.552488032,7375777.28612367,152.965565,33.33,9,53.8
"Cigarras",14,5,"SSCh","SW-NE",4.541,25.453,0.815,3.317324,1.41,44,459437.552488032,7375777.28612367,152.965565,33.33,9,53.8
"Cigarras",15,15,"SSCh","SW-NE",4.541,25.453,0.815,3.317324,1.41,44,459437.552488032,7375777.28612367,152.965565,33.33,9,53.8
"Clubmed",1,12,"SCRJ","W-E",7.681,25.239,0.681,3.471664,1.233,56.0666666666667,592656.557871488,7456412.68559467,307.391311,30.0344444444444,29,55.4
"Clubmed",2,9,"SCRJ","W-E",7.681,25.239,0.681,3.471664,1.233,56.0666666666667,592656.557871488,7456412.68559467,307.391311,30.0344444444444,29,55.4
"Clubmed",3,11,"SCRJ","W-E",7.681,25.239,0.681,3.471664,1.233,56.0666666666667,592656.557871488,7456412.68559467,307.391311,30.0344444444444,29,55.4
"Clubmed",4,21,"SCRJ","W-E",7.681,25.239,0.681,3.471664,1.233,56.0666666666667,592656.557871488,7456412.68559467,307.391311,30.0344444444444,29,55.4
"Clubmed",5,7,"SCRJ","W-E",7.681,25.239,0.681,3.471664,1.233,56.0666666666667,592656.557871488,7456412.68559467,307.391311,30.0344444444444,29,55.4
"Clubmed",6,8,"SCRJ","W-E",7.681,25.239,0.681,3.471664,1.233,56.0666666666667,592656.557871488,7456412.68559467,307.391311,30.0344444444444,29,55.4
"Clubmed",7,18,"SCRJ","W-E",7.681,25.239,0.681,3.471664,1.233,56.0666666666667,592656.557871488,7456412.68559467,307.391311,30.0344444444444,29,55.4
"Clubmed",8,23,"SCRJ","W-E",7.681,25.239,0.681,3.471664,1.233,56.0666666666667,592656.557871488,7456412.68559467,307.391311,30.0344444444444,29,55.4
"Clubmed",9,8,"SCRJ","W-E",7.681,25.239,0.681,3.471664,1.233,56.0666666666667,592656.557871488,7456412.68559467,307.391311,30.0344444444444,29,55.4
"Clubmed",10,6,"SCRJ","W-E",7.681,25.239,0.681,3.471664,1.233,56.0666666666667,592656.557871488,7456412.68559467,307.391311,30.0344444444444,29,55.4
"Clubmed",11,0,"SCRJ","W-E",7.681,25.239,0.681,3.471664,1.233,56.0666666666667,592656.557871488,7456412.68559467,307.391311,30.0344444444444,29,55.4
"Clubmed",12,0,"SCRJ","W-E",7.681,25.239,0.681,3.471664,1.233,56.0666666666667,592656.557871488,7456412.68559467,307.391311,30.0344444444444,29,55.4
"Clubmed",13,39,"SCRJ","W-E",7.681,25.239,0.681,3.471664,1.233,56.0666666666667,592656.557871488,7456412.68559467,307.391311,30.0344444444444,29,55.4
"Clubmed",14,0,"SCRJ","W-E",7.681,25.239,0.681,3.471664,1.233,56.0666666666667,592656.557871488,7456412.68559467,307.391311,30.0344444444444,29,55.4
"Clubmed",15,0,"SCRJ","W-E",7.681,25.239,0.681,3.471664,1.233,56.0666666666667,592656.557871488,7456412.68559467,307.391311,30.0344444444444,29,55.4
"Conchas",1,18,"LRRJ","W-E",2.968,23.164,0.658,3.933147,1.44,29.95,809834.09627174,7467893.51121468,514.749644,31.3214814814815,14,28
