"lat","lon","region","site","height","fase","sample","mean","sd","var","median","min","max","Q1","Q3","unique_id","diff","cv"
-22.98634,-42.00996,"Arraial","Atalaia","Superior","Antes",15,0.2457,0.0125,0,0.2405,-0.1316,1,0.1476,0.3269,"atalaia_superior_15",0.2777,0.0508750508750509
-22.95434,-42.02413,"Arraial","Prainha_AC","Inferior","Antes",1,0.4986,0.014,0,0.5068,-0.0263,1,0.406,0.5969,"prainha_ac_inferior_1",0.1292,0.0280786201363819
-22.95434,-42.02413,"Arraial","Prainha_AC","Inferior","Antes",2,0.5005,0.0126,0,0.5026,0.0098,1,0.3914,0.6075,"prainha_ac_inferior_2",0.1632,0.0251748251748252
-22.95434,-42.02413,"Arraial","Prainha_AC","Inferior","Antes",3,0.4604,0.0218,0,0.472,-0.2836,1,0.3595,0.5855,"prainha_ac_inferior_3",0.1649,0.0473501303214596
-22.95434,-42.02413,"Arraial","Prainha_AC","Inferior","Antes",4,0.3803,0.0133,0,0.3881,-0.0391,1,0.2727,0.4955,"prainha_ac_inferior_4",0.0684,0.0349723902182487
-22.95434,-42.02413,"Arraial","Prainha_AC","Inferior","Antes",5,0.345,0.0162,0,0.3462,-0.3684,1,0.2282,0.4521,"prainha_ac_inferior_5",0.0928,0.0469565217391304
-22.95434,-42.02413,"Arraial","Prainha_AC","Inferior","Antes",6,0.4082,0.0153,0,0.4028,-0.0207,1,0.2837,0.5281,"prainha_ac_inferior_6",0.097,0.0374816266536012
-22.95434,-42.02413,"Arraial","Prainha_AC","Inferior","Antes",7,0.4128,0.0132,0,0.4139,-0.0172,1,0.2941,0.5304,"prainha_ac_inferior_7",0.1117,0.0319767441860465
-22.95434,-42.02413,"Arraial","Prainha_AC","Inferior","Antes",8,0.4351,0.0189,0,0.4444,-0.0732,1,0.3017,0.5647,"prainha_ac_inferior_8",0.073,0.0434382900482648
-22.95434,-42.02413,"Arraial","Prainha_AC","Inferior","Antes",9,0.4314,0.0196,0,0.4365,-0.0254,1,0.2939,0.5618,"prainha_ac_inferior_9",0.1301,0.0454334724153917
-22.95434,-42.02413,"Arraial","Prainha_AC","Inferior","Antes",10,0.4806,0.0156,0,0.4891,-0.021,1,0.3557,0.597,"prainha_ac_inferior_10",0.1493,0.0324594257178527
-22.95434,-42.02413,"Arraial","Prainha_AC","Inferior","Antes",11,0.4558,0.0189,0,0.4579,-0.0199,1,0.3371,0.5664,"prainha_ac_inferior_11",0.1405,0.0414655550680123
-22.95434,-42.02413,"Arraial","Prainha_AC","Inferior","Antes",12,0.4662,0.0117,0,0.4733,-0.0041,1,0.3505,0.5822,"prainha_ac_inferior_12",0.1129,0.0250965250965251
-22.95434,-42.02413,"Arraial","Prainha_AC","Inferior","Antes",13,0.4303,0.0134,0,0.4375,-0.1594,1,0.3241,0.5385,"prainha_ac_inferior_13",0.0943,0.0311410643736928
-22.95434,-42.02413,"Arraial","Prainha_AC","Inferior","Antes",14,0.4392,0.0202,0,0.4454,-0.1556,1,0.3291,0.5422,"prainha_ac_inferior_14",0.1114,0.0459927140255009
-22.95434,-42.02413,"Arraial","Prainha_AC","Inferior","Antes",15,0.4233,0.0143,0,0.4298,-0.0719,1,0.305,0.5383,"prainha_ac_inferior_15",0.1004,0.0337821875738247
-22.95434,-42.02413,"Arraial","Prainha_AC","Superior","Antes",1,0.4825,0.0175,0,0.4776,-0.0091,1,0.345,0.6122,"prainha_ac_superior_1",0.0723,0.0362694300518135
-22.95434,-42.02413,"Arraial","Prainha_AC","Superior","Antes",2,0.4517,0.0144,0,0.4527,0.0028,1,0.2941,0.6033,"prainha_ac_superior_2",0.1013,0.0318795660836839
-22.95434,-42.02413,"Arraial","Prainha_AC","Superior","Antes",3,0.4933,0.0147,0,0.4934,-0.0049,1,0.3609,0.6243,"prainha_ac_superior_3",0.1105,0.0297993107642408
-22.95434,-42.02413,"Arraial","Prainha_AC","Superior","Antes",4,0.4924,0.0191,0,0.4978,0.013,1,0.3391,0.6311,"prainha_ac_superior_4",0.1274,0.0387896019496344
-22.95434,-42.02413,"Arraial","Prainha_AC","Superior","Antes",5,0.4868,0.0121,0,0.4808,0.0121,1,0.3529,0.6104,"prainha_ac_superior_5",0.1317,0.0248562037797864
-22.95434,-42.02413,"Arraial","Prainha_AC","Superior","Antes",6,0.5013,0.0158,0,0.5057,0.0118,1,0.3834,0.6222,"prainha_ac_superior_6",0.0962999999999999,0.0315180530620387
-22.95434,-42.02413,"Arraial","Prainha_AC","Superior","Antes",7,0.5114,0.0147,0,0.5172,0.0388,1,0.4053,0.6156,"prainha_ac_superior_7",0.1081,0.0287446226046148
-22.95434,-42.02413,"Arraial","Prainha_AC","Superior","Antes",8,0.5893,0.0143,0,0.6015,0.0542,1,0.4777,0.6972,"prainha_ac_superior_8",0.1679,0.0242660783980994
-22.95434,-42.02413,"Arraial","Prainha_AC","Superior","Antes",9,0.4792,0.0116,0,0.4675,0.0481,1,0.356,0.5882,"prainha_ac_superior_9",0.1345,0.0242070116861436
-22.95434,-42.02413,"Arraial","Prainha_AC","Superior","Antes",10,0.5306,0.0142,0,0.5278,0.0509,1,0.427,0.6308,"prainha_ac_superior_10",0.1331,0.026762156049755
-22.95434,-42.02413,"Arraial","Prainha_AC","Superior","Antes",11,0.4921,0.0128,0,0.4857,0.0198,1,0.3717,0.6039,"prainha_ac_superior_11",0.0966,0.0260109733793944
-22.95434,-42.02413,"Arraial","Prainha_AC","Superior","Antes",12,0.4585,0.0124,0,0.451,-0.0022,1,0.3386,0.5636,"prainha_ac_superior_12",0.0803,0.0270447110141767
-22.95434,-42.02413,"Arraial","Prainha_AC","Superior","Antes",13,0.5138,0.0195,0,0.519,0,1,0.3712,0.6301,"prainha_ac_superior_13",0.1054,0.0379525107045543
-22.95434,-42.02413,"Arraial","Prainha_AC","Superior","Antes",14,0.4756,0.0127,0,0.4762,0.0313,1,0.3383,0.5882,"prainha_ac_superior_14",0.1108,0.0267031118587048
-22.95434,-42.02413,"Arraial","Prainha_AC","Superior","Antes",15,0.5238,0.0142,0,0.5256,0.0303,1,0.4258,0.6216,"prainha_ac_superior_15",0.0879,0.0271095838106147
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Inferior","Antes",1,0.3562,0.0143,0,0.3571,-0.2571,1,0.2308,0.4854,"pta_cabeca_inferior_1",0.0582,0.0401459854014599
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Inferior","Antes",2,0.461,0.0143,0,0.469,-0.0556,1,0.3403,0.5862,"pta_cabeca_inferior_2",0.1083,0.0310195227765727
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Inferior","Antes",3,0.3996,0.0237,0,0.4054,-0.0938,1,0.2809,0.5294,"pta_cabeca_inferior_3",0.1219,0.0593093093093093
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Inferior","Antes",4,0.421,0.0155,0,0.4372,-0.1628,1,0.2917,0.5464,"pta_cabeca_inferior_4",0.1448,0.0368171021377672
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Inferior","Antes",5,0.2821,0.0222,1e-04,0.2823,-0.2653,1,0.0936,0.4655,"pta_cabeca_inferior_5",0.094,0.0786954980503368
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Inferior","Antes",6,0.3722,0.0199,0,0.375,-0.0392,1,0.2125,0.5196,"pta_cabeca_inferior_6",0.2103,0.053465878559914
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Inferior","Antes",7,0.4408,0.021,0,0.4553,-0.1538,1,0.2847,0.5833,"pta_cabeca_inferior_7",0.1884,0.0476406533575318
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Inferior","Antes",8,0.4532,0.0203,0,0.4545,-0.028,1,0.3373,0.5733,"pta_cabeca_inferior_8",0.0896,0.044792586054722
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Inferior","Antes",9,0.5152,0.0207,0,0.5355,-0.0063,1,0.3836,0.6407,"pta_cabeca_inferior_9",0.0888,0.0401785714285714
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Inferior","Antes",10,0.5281,0.0138,0,0.5536,-0.0102,1,0.4227,0.6779,"pta_cabeca_inferior_10",0.1268,0.0261314145048286
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Inferior","Antes",11,0.4699,0.0223,0,0.4854,-0.0508,1,0.3684,0.5866,"pta_cabeca_inferior_11",0.0441,0.0474569057246223
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Inferior","Antes",12,0.5838,0.0163,0,0.6,-0.0063,1,0.4489,0.7172,"pta_cabeca_inferior_12",0.0329,0.0279205207262761
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Inferior","Antes",13,0.5098,0.0257,1e-04,0.5145,-0.0362,1,0.4,0.6376,"pta_cabeca_inferior_13",-0.0619,0.0504119262455865
